planet,planet_mass_mjup,planet_radius_rjup,star_distance_AU,temp_calculated_K,star_name,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
BD+60 1417 b,15.0,1.31,1662.0,1303.0,BD+60 1417,1.0,0.797,0.1,4993.0
BD+63 1405 b,3.96,,2.06,,BD+63 1405,,,,
beta Cir b,56.0,,6656.0,2084.0,beta Cir,1.96,,0.367,8676.0
beta Cnc b,7.8,,1.7,,beta Cnc,1.7,48.96,1.85,3990.0
bet And b,28.26,,2.03,,bet And,,86.4,,3802.0
beta Pic b,11.9,1.65,9.93,,beta Pic,1.73,1.8,0.04,8052.0
beta Pic c,8.89,1.2,2.68,1250.0,beta Pic,1.73,1.8,0.04,8052.0
beta Umi b,6.1,,1.4,,beta Umi,1.4,42.06,2.95,4126.0
[BHB2007]-1 b,42.0,,50.0,,[BHB2007]-1,0.75,,0.0057,4060.0
BW Scl b,51.0,1.0,0.0027,1600.0,BW Scl,0.85,,,
CD-35 2722 b,31.0,,67.0,,CD-35 2722,0.4,,0.1,3680.0
CD-42 11721 b,60.0,,835.0,,CD-42 11721,20.0,,2e-05,29000.0
CD Cet b,0.01244,,0.0185,464.0,CD Cet,0.161,0.175,3.0,3130.0
CFBDS0059,22.5,,,,,,,,
CFBDSIR J145829+101343 A,25.0,,,,,,,,
CFBDSIR J145829+101343 b,10.5,,,370.0,,,,,
CFBDSIR J2149-0403,7.5,,,,,,,,
CFHTWIR-Oph 98 b,7.8,1.86,200.0,1800.0,CFHTWIR-Oph 98,0.0154,0.24,0.003,2320.0
Cha Ha 8 b,25.0,,1.02,,Cha Ha 8,0.085,,0.003,2967.0
Cha J110913-773444,8.0,1.8,,1350.0,,,,,
Chang 134 b,46.0,,,,Chang 134,1.38,,,7200.0
chi Sco b,4.32,,1.45,,chi Sco,1.22,25.92,5.13,4157.0
chi Vir b,11.09,,2.14,,chi Vir,2.17,20.9,0.95,4445.0
chi Vir c,3.1,,0.64,,chi Vir,2.17,20.9,0.95,4445.0
CHXR 73 b,12.0,,200.0,,CHXR 73,0.35,,0.002,
Cl Tau b,11.6,,,,CI Tau,0.9,,0.002,
Cl Tau c,3.6,,0.17,,Cl Tau,,,,
COCONUTS-2 b,6.4,1.12,6471.0,434.0,COCONUTS-2A,0.37,0.388,0.475,3406.0
COCONUTS-3 b,39.0,1.03,1891.0,1362.0,COCONUTS-3,,,0.5,2966.0
CoRoT-10 b,2.75,0.97,0.1055,,CoRoT-10,0.89,0.79,3.0,5075.0
CoRoT-11 b,2.33,1.43,0.04351,,CoRoT-11,1.27,1.36,2.0,6343.0
CoRoT-12 b,0.917,1.44,0.04016,,CoRoT-12,1.078,1.116,6.3,5675.0
CoRoT-13 b,1.308,0.885,0.051,,CoRoT-13,1.09,1.01,1.64,5945.0
CoRoT-14 b,7.6,1.09,0.027,,CoRoT-14,1.13,1.21,4.2,6035.0
CoRoT-15 b,63.4,1.12,0.045,1740.0,CoRoT-15,,,,
CoRoT-16 b,0.535,1.17,0.0618,,CoRoT-16,1.098,1.19,6.73,5650.0
CoRoT-17 b,2.43,1.02,0.0461,,CoRoT-17,1.04,1.59,10.7,5740.0
CoRoT-18 b,3.47,1.31,0.0295,,CoRoT-18,0.95,1.0,,5440.0
CoRoT-19 b,1.11,1.29,0.0518,,CoRoT-19,1.21,1.65,5.0,6090.0
CoRoT-1 b,1.03,1.49,0.0254,,CoRoT-1,0.95,1.11,,6298.0
CoRoT-20 b,4.24,0.84,0.0902,,CoRoT-20,1.14,0.92,0.1,5880.0
CoRoT-20 c,17.0,,2.9,,CoRoT-20,1.14,0.92,0.1,5880.0
CoRoT-21 b,2.26,1.3,0.0417,,CoRoT-21,1.29,1.945,4.1,6200.0
CoRoT-22 b,0.06,0.4354,0.092,885.0,CoRoT-22,1.099,1.136,3.3,5939.0
CoRoT-23 b,2.8,1.08,0.0477,,CoRoT-23,1.14,1.61,7.2,5900.0
CoRoT-24 b,0.018,0.33,0.056,1070.0,CoRoT-24,0.91,0.86,11.0,4950.0
CoRoT-24 c,0.088,0.44,0.098,850.0,CoRoT-24,0.91,0.86,11.0,4950.0
CoRoT-25 b,0.27,1.08,0.0578,,CoRoT-25,1.09,1.19,5.2,6040.0
CoRoT-26 b,0.52,1.26,0.0526,,CoRoT-26,1.09,1.79,8.6,5590.0
CoRoT-27 b,10.39,1.007,0.0476,1500.0,CoRoT-27,1.05,1.08,4.21,5900.0
CoRoT-28 b,0.484,0.955,0.059,,CoRoT-28,1.01,1.78,12.0,5150.0
CoRoT-29 b,0.85,0.9,0.039,,CoRoT-29,0.976,0.9,4.5,5260.0
CoRoT-2 b,3.31,1.465,0.0281,,CoRoT-2,0.97,0.902,,5575.0
CoRoT-30 b,2.9,1.009,0.0844,,CoRoT-30,0.98,0.91,3.0,5660.0
CoRoT-31 b,0.84,1.46,0.0586,,CoRoT-31,1.25,2.15,4.7,5370.0
CoRoT-32 b,0.15,0.57,0.071,938.0,CoRoT-32,1.09,0.79,,5970.0
CoRoT-33 b,59.2,1.1,0.0579,,CoRoT-33,0.86,0.94,4.6,5225.0
CoRoT-35 b,1.1,1.68,0.0429,1747.0,CoRoT-35,1.01,1.65,6.1,6390.0
CoRoT-36 b,0.68,1.41,0.066,1567.0,CoRoT-36,1.32,1.52,2.1,6730.0
CoRoT-3 b,21.66,1.19,0.057,,CoRoT-3,1.41,1.44,2.0,6558.0
CoRoT-4 b,0.72,1.19,0.09,,CoRoT-4,1.1,1.15,1.0,6190.0
CoRoT-5 b,0.467,1.33,0.04947,,CoRoT-5,1.0,1.186,6.9,6100.0
CoRoT-6 b,2.96,1.166,0.0855,,CoRoT-6,1.055,1.025,,6090.0
CoRoT-7 b,0.01907,0.136,0.0172,,CoRoT-7,0.93,0.87,1.5,5313.0
CoRoT-7 c,0.041812,,0.046,,CoRoT-7,0.93,0.87,1.5,5313.0
CoRoT-7 d,17.142,,0.08,,CoRoT-7,0.93,0.87,1.5,5313.0
CoRoT-8 b,0.2158,0.5692,0.063,,CoRoT-8,0.88,0.77,3.0,5080.0
CoRoT-9 b,0.84,0.94,0.407,,CoRoT-9,0.99,0.94,4.0,5625.0
CP Eri b,35.0,,0.001246,,CP Eri,0.75,,,
CRTS J071126.0+440405 (AB)b,6.8,,,,CRTS J071126.0+440405,0.9,,,
CT Cha b,17.0,2.2,440.0,,CT Cha,,,0.002,
CWISE 0146-0508A b,66.0,,129.0,1340.0,CWISE 0146-0508A,0.072,,5.0,1720.0
CWISE J050626.96+073842.4,7.0,1.32,,1140.0,,,,,
CWISE J105512.11+544328.3,5.0,,,500.0,,,,,
CWISEP J144606.62-231717.8,11.0,,,335.0,,,,,
CWISEP J1935-1546,11.0,,,315.0,,,,,
DANCe J15454024-2422072,8.0,,,1650.0,,,,,
DANCe J15481655-2307430,12.0,,,2060.0,,,,,
DANCe J15582895-2530319,7.0,,,1560.0,,,,,
DANCe J16041234-2127472,10.0,,,1880.0,,,,,
DANCe J16053908-2403330,11.0,,,1970.0,,,,,
DANCe J16064467-2033428,12.0,,,2060.0,,,,,
DANCe J16064553-2121595,10.0,,,1855.0,,,,,
DANCe J16081299-2304316,4.0,,,1220.0,,,,,
DANCe J16091010-1930376,8.0,,,1710.0,,,,,
DANCe J16123953-2614510,12.0,,,2060.0,,,,,
DANCe J16134589-2442310,10.0,,,1720.0,,,,,
DANCe J16135217-2443562,10.0,,,1880.0,,,,,
DANCe J16140756-2211524,11.0,,,1970.0,,,,,
DANCe J16255679-2113354,12.0,,,2060.0,,,,,
DANCe J16393029-2454135,11.0,,,1970.0,,,,,
DE0630-18 a,58.0,,,,,,,,
DE0630-18 (bc),53.0,,,,,,,,
DE0823-49 b,31.5,,0.36,1670.0,DE0823-49,0.045,,0.1,2150.0
DE CVn b,11.0,,5.75,,DE CVn,,,,
del Vir b,15.83,,1.33,,del Vir,1.4,65.8,,3657.0
DH Tau b,11.0,,330.0,,DH Tau,0.37,,0.001,
DMPP-4 b,0.0365,,0.04853,,DMPP-4,1.25,1.38,2.15,6400.0
DoAr 21 (AB)b,35.6,,1.55,,DoAr 21 (AB),2.04,4.06,0.0006,5080.0
DoAr 21 (AB)c,44.0,,2.8,,DoAr 21 (AB),2.04,4.06,0.0006,5080.0
DP Leo (AB) b,6.05,,8.19,,DP Leo (AB),0.69,,,
DS Tuc A b,0.0453,0.5085,0.0795,,DS Tuc A,0.959,0.872,0.04,5597.0
DW Lyn b,5.58,,1.148,,DW Lyn,,,,
DW Uma b,10.06,,5.8,,DW Uma,,,,
Elias 2-24 b,2.7,,57.0,,Elias 2-24,1.0,4.07,0.0004,4483.0
Elias 2-27 b,11.0,,500.0,,Elias 2-27,0.5,2.3,0.0008,3850.0
EPIC 203868608 (AB) b,25.6,2.49,19.3,,EPIC 203868608 (AB),0.3685,,,
EPIC 212235321 b,55.0,,,,EPIC 212235321,0.45,,,24500.0
EPIC 219388192 b,36.0,0.846,0.0593,1164.0,EPIC 219388192,0.99,1.01,3.9,5850.0
eps CrB b,6.7,,1.3,,eps CrB,1.7,21.0,1.74,4406.0
eps Eridani b,0.76,,3.53,,eps Eridani,0.83,0.895,0.66,5116.0
eps Ind A b,2.96,,11.08,,eps Ind A,0.762,,1.4,
Eps Ret Ab,1.35,,1.16,,eps Ret A,1.2,6.6,7.15,4749.0
eps Tau b,7.34,,1.9,,eps Tau,2.7,13.7,0.625,4901.0
EROS-MP J0032-4405,50.0,,,,,,,,
ES Cet b,62.0,0.494,0.000665,,ES Cet,0.7,0.01,,130000.0
eta2 Hyi b,6.29,,1.89,,eta2 Hyi,1.91,13.0,1.25,4975.0
eta Cet b,2.55,,1.27,,eta Cet,1.7,14.3,,4528.0
eta Cet c,3.32,,1.93,,eta Cet,1.7,14.3,,4528.0
eta Tel b,48.0,,218.0,,eta Tel,2.09,,,
Exo-comet KIC 3542116,,,,,KIC 3542116,1.5,1.44,,6925.0
FL Lyr b,9.0,,,,FL Lyr,2.2,,,
FU Tau b,15.0,,800.0,,FU Tau,0.05,,0.001,2838.0
G 196-3 b,15.0,,,1870.0,G 196-3,0.4,,,3400.0
G 204-39 b,29.0,,2685.0,,G 204-39,0.36,,1.0,
G 264-012 b,0.0079,,0.02279,587.0,G 264-012,0.297,0.305,,3326.0
G 264-012 c,0.0118,,0.0525,387.0,G 264-012,0.297,0.305,,3326.0
G 9-40 b,0.013,0.17,0.0418,440.6,G 9-40,0.29,0.31,9.9,3348.0
Gaia14aae b,25.3,0.603,,,Gaia14aae,,,,
Gaia-1 b,1.68,1.229,0.04047,,Gaia-1,0.93,0.962,,5370.0
Gaia22dkv b,0.5,,1.63,,Gaia22dkv,1.24,,,
Gaia-2 b,0.773,1.327,0.0467,,Gaia-2,1.0,1.064,,5720.0
Gaia-3 b,7.3,,0.799,,Gaia-3,0.705,0.69,7.9,4300.0
Gaia EDR3 2077240046296834304 b,,0.81,0.032,,Gaia EDR3 2077240046296834304,0.749,0.72,,4410.0
gamma 1 Leo b,63.88,,1.19,,gamma 1 Leo,1.23,31.88,,4330.0
gamma Cephei b,17.539,,2.1459,,gamma Cephei,1.4,4.9,6.6,4800.0
gamma Lib b,1.029,,1.2397,,gamma Lib,1.47,11.1,2.8,4822.0
gamma Lib c,4.63,,2.1761,,gamma Lib,1.47,11.1,2.8,4822.0
gam Psc b,1.34,,1.32,,gam Psc,,,,
GD 140 b,3.74,,,,GD 140,0.97,,,
GJ 1002 b,0.0034,,0.0457,,GJ 1002,,,,
GJ 1002 c,0.00428,,0.0738,,GJ 1002,,,,
GJ 1018 b,0.00843,0.1356,0.0559,458.0,GJ 1018,0.427,0.428,7.0,3433.0
GJ 1061 b,0.00453,,0.021,,GJ 1061,0.12,0.156,7.0,2953.0
GJ 1061 c,0.00547,,0.035,,GJ 1061,0.12,0.156,7.0,2953.0
GJ 1061 d,0.00494,,0.052,,GJ 1061,0.12,0.156,7.0,2953.0
GJ 1132 b,0.00522,0.1035,0.0154,580.0,GJ 1132,0.181,0.207,5.0,3270.0
GJ 1132 c,0.00831,,0.0476,579.0,GJ 1132,0.181,0.207,5.0,3270.0
GJ 1214 b,0.02571,0.24463,0.01411,,GJ 1214,0.15,0.216,6.0,3026.0
GJ 1252 b,0.00415,0.1053,0.00916,997.0,GJ 1252,0.381,0.391,,3458.0
GJ 1265 b,0.0233,,0.026,,GJ 1265,0.178,0.192,,3236.0
GJ 1289 b,0.01973,,0.27,150.0,GJ 1289,0.21,0.245,,3175.0
GJ 143 b,0.0714,0.2329,0.1932,,GJ 143,0.76,0.73,3.8,4640.0
GJ 143 c,0.01164,0.07958,0.0695,703.0,GJ 143,0.76,0.73,3.8,4640.0
GJ 15A b,0.00953,,0.072,,GJ 15A,0.375,0.3863,,3567.0
GJ 15A c,0.113,,5.4,,GJ 15A,0.375,0.3863,,3567.0
GJ 160.2 b,0.0245,,0.079,,GJ 160.2,0.69,,,4347.0
GJ 163 b,0.0311,,0.06,,GJ 163,0.4,,3.0,
GJ 163 c,0.0239,,0.124,,GJ 163,0.4,,3.0,
GJ 163 d,0.0636,,1.021,,GJ 163,0.4,,3.0,
GJ 163 e,0.0428,,0.7,,GJ 163,0.4,,3.0,
GJ 163 f,0.0214,,0.326,,GJ 163,0.4,,3.0,
GJ 176 b,0.025,,0.066,,GJ 176,0.49,0.53,,
GJ 176 c,0.0233,,0.146,,GJ 176,0.49,0.53,,
