planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-2095 b,0.0129,0.1115,347,TOI-2095,0.101,0.465,0.453,,3662
TOI-2095 c,0.0233,0.1187,297,TOI-2095,0.137,0.465,0.453,,3662
TOI-2096 b,0.006,0.11089,445,TOI-2096,0.025,0.218,0.25,,3285
TOI-2096 c,0.0145,0.17076,349,TOI-2096,0.04,0.218,0.25,,3285
TOI-2107 b,0.83,1.211,1397,TOI-2107,0.03515,,,,
TOI-2109 b,5.02,1.347,3631,TOI-2109,,1.447,1.698,,6500
TOI-2120 b,0.0214,0.18931,350,TOI-2120,0.0377,0.21,0.245,,3131
TOI-2128 b,0.0142,0.2346,777,TOI-2128,0.127,1.1,1.125,,5991
TOI-2134 b,0.02873,0.24,665,TOI-2134,0.078,0.69,0.77,,4406
TOI-2134 c,0.1318,0.6486,306,TOI-2134,0.371,0.69,0.77,,4406
TOI-2136 b,0.0148,0.1865,378,TOI-2136,0.054,0.34,0.34,4.6,3342
TOI-2141 b,0.076,0.2721,722,TOI-2141,0.133,0.94,0.98,6.4,5659
TOI-2145 b,5.56,1.103,1484,TOI-2145,0.111,1.72,2.738,1.79,6189
TOI-2152 b,2.83,1.281,1800,TOI-2152,0.05064,1.516,1.612,0.83,6630
TOI-2154 b,0.92,1.453,1589,TOI-2154,0.0513,1.233,1.396,2.9,6280
TOI-2158 b,0.82,0.96,1188,TOI-2158,0.074,1.12,1.41,8,5673
TOI-216 b,0.0558,0.6861,628,TOI-216,0.1293,0.77,0.747,,5045
TOI-216 c,0.528,0.901,497,TOI-216,0.2068,0.77,0.747,,5045
TOI-2179 b,1.942,1.117,974,TOI-2179,0.1207,1.026,1.088,5.7,5788
TOI-2180 b,2.755,1.01,348,TOI-2180,0.828,1.111,1.636,8.1,5695
TOI-2184 b,0.65,1.017,,TOI-2184,,1.53,2.9,2.3,5966
TOI-2193 b,0.94,1.77,1763,TOI-2193,0.03319,1.082,1.248,5.5,5966
TOI-2194 b,0.0145456,0.177466,590.88,TOI-2194,,0.74,0.681,,4669
TOI-2196 b,0.082,0.3131,1860,TOI-2196,0.02234,1.032,1.043,4.5,5634
TOI-2202 b,0.978,1,,TOI-2202,0.09564,0.823,0.794,7.48,5144
TOI-2202 c,0.369,,,TOI-2202,0.15544,0.823,0.794,7.48,5144
TOI-2207 b,0.64,0.995,1259,TOI-2207,0.0854,1.296,1.564,3.3,6101
TOI-220 b,0.0428,0.2694,806,TOI-220,0.0892,0.825,0.858,10.1,5298
TOI-2236 b,1.58,1.282,1688,TOI-2236,0.05,,1.66,,6228
TOI-2257 b,0.0179,0.19574,256,TOI-2257,0.145,0.33,0.311,,3430
TOI-2260 b,0.011,0.1445,2609,TOI-2260,0.0097,0.99,0.94,,5534
TOI-2266 b,,0.1374,550,TOI-2266,0.02,0.23,0.24,0.3,3200
TOI-2285 b,0.0614,0.1552,284,TOI-2285,0.1363,0.454,0.464,,3491
TOI-2290 b,0.005,0.1044,1484,TOI-2290,0.0086,0.56,0.57,,3813
TOI-2337 b,1,0.9,,TOI-2337,,1.325,3.22,4.9,4780
TOI-2338 b,5.98,1,799,TOI-2338,0.158,0.99,1.05,7,5581
TOI-2364 b,0.225,0.768,1091,TOI-2364,0.04871,0.954,0.886,3.5,5306
TOI-2368 b,0.65,0.967,1000,TOI-2368,0.05649,,,,
TOI-2373 b,9.3,0.93,860,TOI-2373,0.112,1.04,1.1,5.9,5651
TOI-2374 b,0.17821,0.607,810,TOI-2374,0.0471,0.75,0.69,4.1,4802
TOI-237 b,0.009,0.1285,355,TOI-237,0.0341,0.179,0.211,,3212
TOI-238 b,0.0113,0.14381,,TOI-238,0.0212,0.788,0.75,6,5080
TOI-238 c,0.0211,0.1945,696,TOI-238,0.0749,0.788,0.75,6,5080
TOI-2406 b,0.0286,0.2623,447,TOI-2406,0.0228,0.162,0.202,,3100
TOI-2411 b,0.0123,0.1499,1355,TOI-2411,0.0144,0.65,0.68,,4099
TOI-2416 b,3,0.88,,TOI-2416,0.0831,,,,
TOI-2421 b,0.333,0.925,1534,TOI-2421,0.0543,,1.92,,5645
TOI-2427 b,0.0129,0.161,1117,TOI-2427,0.0202,0.64,0.65,,4072
TOI-2443 b,0.02558,0.2471,600,TOI-2443,,0.66,0.732,,
TOI-2445 b,0.006,0.12267,1060,TOI-2445,0.0064,0.25,0.27,,3330
TOI-2459 b,0.02847,0.2632,445,TOI-2459,,0.66,0.675,,4195
TOI-2497 b,5.21,1,1596,TOI-2497,0.1167,1.86,2.358,1,7360
TOI-2498 b,0.10893,0.5406,1443,TOI-2498,0.0491,1.12,1.26,3.6,5905
TOI-251 b,1,0.2444,,TOI-251,0.05741,1.036,0.881,0.18,5875
TOI-2524 b,0.64,1,1100,TOI-2524,0.073,1.01,1.12,6.7,5831
TOI-2525 b,0.084,0.774,,TOI-2525,0.1511,0.849,0.785,3.99,5096
TOI-2525 c,0.657,0.904,,TOI-2525,0.249,0.849,0.785,3.99,5096
TOI-2529 b,2.34,1.03,636,TOI-2529,0.327,,,,
TOI-2545 b,,0.2453,,TOI-2545,,1.055,1.253,,
TOI-2567 b,0.201,0.975,1352,TOI-2567,0.0672,,1.83,,5609
TOI-2570 b,0.82,1.217,1431,TOI-2570,0.04145,,1.35,,5756
TOI-257 b,0.134,0.626,1033,TOI-257,0.1523,1.389,1.926,3.11,6075
TOI-2583 b,0.25,1.29,1456,TOI-2583A,0.0571,1.215,1.477,4.4,5936
