planet,planet_mass_mjup,planet_radius_rjup,planet_temperature_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K,has_missing_data,planet_mass_mearth,planet_radius_rearth,planet_mass_kg,planet_radius_m,Luminosity_Lsun,Flux_inner_HZ_boundary,Flux_outer_HZ_boundary,HZ_inner_boundary_AU,HZ_outer_boundary_AU,HZ_middle_AU,HZ_subindex,escape_velocity,thermal_velocity,jeans_parameter,jeans_parameter_norm,water_subindex,planet_temperature_C,temperature_subindex,star_distance_m,radiation_I,relative_r,C12_stability_temperature,C12_stability_radiation,C12_stability_subindex,pre_seq_GY,main_seq_GY,main_seq_end_GY,mid_main_seq_GY,star_age_subindex,PO_HUI,HUI,density,ESI_r,ESI_d,ESI_ev,ESI_t,ESI,star_distance_AU_adj,PHI_substrate_subindex,PHI_energy_light,PHI_energy_temperature,PHI_energy_subindex,PHI_chemistry_subindex,PHI_liquid_medium_subindex,PHI
K2-174 b,0.0289,0.232,455.0,K2-174,0.126,0.7,0.68,,4455.0,True,9.18442,2.5984,5.4851193124e+25,16572951.180799998,0.27691912077842284,1.1746658475,0.187523858475,0.48553361288136687,1.0329210606484382,0.7592273367649025,0.025950829490930888,21030.36550241364,636.621777114775,545.6330450595939,0.9529638849885884,0.2879307523622519,182.0,0.18756756756756754,18849600000.0,6.202100548406906e-23,17.459187624409207,0.29103773584905657,0.09999875407500794,0.19551824496203224,0.0243924205986611,24.392420598661097,24.41681301925976,12.196210299330549,0.1,0.1593934788765565,0.1642138519713907,2.876722143535324,2.5984,0.5236956758502774,1.880379638214389,455.0,0.5471943065487572,0.06630511263453401,0.5,2,0,0.6666666666666666,0.5,0.5,0.537284965911771
K2-175 b,,0.182,,K2-175,,1.09,1.42,,5909.0,True,,2.0383999999999998,,13001194.460799998,1.3637519751241627,1.4950570739000002,0.177673467939,0.9550779315782548,2.3549155225666625,1.6549967270724586,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.008061832212954728,8.061832212954727,8.06989404516768,4.030916106477363,0.1,0.095,0.096123125,,2.0383999999999998,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-176 b,,0.133,,K2-176,,0.94,0.86,,5428.0,True,,1.4896,,9500872.8752,0.8003137398476284,1.3694582096,0.18064239089600004,0.7644617223148644,1.789118991723923,1.2767903570193937,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.011672943031448547,11.672943031448547,11.684615974479996,5.8364715157242735,0.1,0.095,0.096123125,,1.4896,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-177 b,,0.189,,K2-177,,1.21,1.21,,6063.0,True,,2.1168,,13501240.4016,1.9862199199062893,1.5393670011,0.176783450811,1.1359064885072232,2.849126871264835,1.992516679886029,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.006209213230591553,6.209213230591553,6.215422443822145,3.1046066152957765,0.1,0.095,0.096123125,,2.1168,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-178 b,,0.317,,K2-178,,0.95,0.89,,5525.0,True,,3.5504,,22644937.604799997,0.8313903494711127,1.3932261874999998,0.18002061187500001,0.7724878813611192,1.8266708505205922,1.2995793659408557,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.011368181186539107,11.368181186539104,11.379549367725643,5.684090593269552,0.1,0.095,0.096123125,,3.5503999999999993,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-179 b,,0.224,,K2-179,,0.82,0.77,,5015.0,True,,2.5088,,16001470.1056,0.48947427138420135,1.2770859275,0.183420139275,0.6190915475332265,1.3885462521204652,1.0038188998268458,0.1,,,,0.1,0.07500000000000001,,0.1,,,,0.1,0.1,0.1,0.016423486923683308,16.423486923683306,16.43991041060699,8.211743461841653,0.1,0.095,0.096123125,,2.5088,,,,,,0.0,0,0,0.0,0.5,0.0,0.00014953487812212208
K2-17 b,,0.199,487.0,K2-17,0.119,0.71,0.66,,4320.0,True,,2.2288,,14215591.7456,0.29142718102349124,1.15390656,0.1885712256,0.5025504966563459,1.056686700820788,0.779618598738567,0.023679212495411106,,658.6281260218825,,0.1,0.07452717391304348,214.0,0.09970833333333334,17802400000.0,7.317505904267034e-23,20.59910308260588,0.155188679245283,0.09999844008189215,0.1275935596635876,0.023542583975279776,23.542583975279776,23.566126559255057,11.771291987639888,0.1,0.0851016558810751,0.08874900738869373,,2.2288,,,487.0,,0.06424095508687319,0.0,2,0,0.6666666666666666,0.5,0.0,0.002402811414134754
K2-180 b,0.036,0.206,731.0,K2-180,0.0753,0.72,0.72,9.5,5358.0,False,11.4408,2.3072,6.832674576e+25,14715637.6864,0.30647636439962567,1.3527958716,0.18109833351600002,0.47597304525189604,1.1057582602695042,0.7908656527607001,0.015820223592735064,24909.185791219716,806.9274336802575,476.4530448943857,0.9662111190627772,0.2897359797760474,458.0,0.094625,11264880000.0,1.9219141473908369e-22,54.1027341227516,0.09538,0.09999508970203624,0.09768754485101813,0.022733628510369967,22.733628510369975,22.756362138880345,11.366814255184988,0.8518934336806632,0.26995243638009275,0.19769808837508718,5.1187611830082975,2.3072,0.9318498497589707,2.2271950414239394,731.0,0.38258114278470334,0.041686311530509314,1.0,2,0,0.6666666666666666,0.0,0.5,0.042728700639623404
K2-181 b,,0.253,962.0,K2-181,0.0706,0.99,1.07,,5608.0,True,,2.8335999999999997,,18073089.0032,0.9644655077470021,1.4141897216000001,0.179497822016,0.8258278257263507,1.9703014834741943,1.3980646546002724,0.008548997478730419,,925.6852171717568,,0.1,0.07194565217391305,689.0,0.0898125,10561760000.0,6.880250449452621e-22,193.68209619041804,0.09076000000000001,0.09998113169603945,0.09537056584801973,0.010254441539222652,10.254441539222652,10.264695980761875,5.127220769611326,0.1,0.07313554310013264,0.0741280921428864,,2.8335999999999997,,,962.0,,0.06933428659901136,0.0,2,0,0.6666666666666666,0.0,0.0,0.00016068568378893036
K2-182 b,0.063,0.24,969.0,K2-182,0.0526,0.88,0.8,,5165.0,True,20.0214,2.6879999999999997,1.1957180508e+26,17144432.255999997,0.6311573146591747,1.3089822275,0.182386852275,0.694387564851332,1.5812151673018084,1.1378013660765702,0.007575020444276187,30528.57589003918,929.0469903737812,539.8930464495849,0.9540630336585901,0.285400293628075,696.0,0.08966666666666667,7868960000.0,8.1113488606331e-22,228.33806149951494,0.09062,0.09997766608218046,0.09529883304109024,0.013765542120067822,13.765542120067822,13.77930766218789,6.882771060033911,0.1,0.11558816275602161,0.1069851245694477,5.664620928613394,2.6879999999999997,1.031221417164786,2.729639315147615,969.0,0.27554004786876574,0.04178828558228272,1.0,2,0,0.6666666666666666,0.0,0.5,0.042728700639623404
