planet,planet_mass_mjup,planet_radius_rjup,temp_calculated_K,star_name,star_distance_AU,star_mass_msun,star_radius_rsun,star_age_Gy,star_teff_K
TOI-3807 b,1.04,2,1646,TOI-3807,0.0421,1.468,5.6,5772,1646
TOI-3819 b,1.11,1.172,1633,TOI-3819,0.04611,1.538,4.5,5859,1633
TOI-3912 b,0.406,1.274,1512,TOI-3912,0.0463,1.392,7.5,5725,1512
TOI-3976 b,0.175,1.095,1295,TOI-3976,0.0743,1.501,3.8,5975,1295
TOI-402 b,0.02051,0.1579,3109,TOI-402,0.05245,0.839,7.5,5131,3109
TOI-4087 b,0.73,1.164,1458,TOI-4087,0.04469,1.112,0.8,6060,1458
TOI-4145 b,0.43,1.187,1074,TOI-4145,0.04823,0.859,4.7,5281,1074
TOI-4184 b,6.6,0.2168,412,TOI-4184,0.0336,0.252,6.7,3225,412
TOI-4463 b,0.794,1.183,1395,TOI-4463,0.04035,1.062,4.1,5640,1395
TOI-4481 b,0.006,0.11874,940,TOI-4481,0.01406,0.4144,4.5,3600,940
TOI-4515 b,2,1.09,705,TOI-4515,0.118,0.86,1.2,5433,705
TOI-4559 b,0.0085,0.12624,554,TOI-4559,0.036,0.374,7,3558,554
TOI-4603 b,12.89,1.042,1677,TOI-4603,0.0888,2.722,1.98,6189,1677
TOI-469 b,0.0186,0.3105,777,TOI-469,0.107,1,11.7,5283,777
TOI-469 c,0.0142,0.141,1217,TOI-469,0.0436,1,11.7,5283,1217
TOI-469 d,0.016,0.1222,998,TOI-469,0.0649,1,11.7,5283,998
TOI-4791 b,2.31,1.11,1472,TOI-4791,0.0555,1.409,3.3,6058,1472
TOI-4987 b,12.37,1.93,2000,TOI-4987,0.0656,2.35,9.35,6935,2000
TOI-5153 b,3.26,1.06,906,TOI-5153,0.158,1.4,5.4,6300,906
TOI-532 b,0.1935,0.5192,867,TOI-532,0.0296,0.612,7.1,3957,867
TOI-5344 b,0.42,0.87,679,TOI-5344,0.04,0.588,10.9,3747,679
TOI-5542 b,1.32,1.009,441,TOI-5542,0.332,1.058,10.8,5700,441
TOI-558 b,3.61,1.086,1061,TOI-558,0.1291,1.496,1.79,6466,1061
TOI-559 b,6.01,1.091,1180,TOI-559,0.0723,1.233,6.8,5925,1180
TOI-564 b,1.463,1.02,1714,TOI-564,0.02734,1.04,7.3,5666,1714
TOI-5678 b,0.063,0.438,513,TOI-5678,0.249,0.938,8.5,5485,513
TOI-5799 b,0.0116,0.14497,518,TOI-5799,0.0352,0.328,7,3514,518
TOI-620 b,0.0485,0.3354,604,TOI-620,0.04825,0.55,7.2,3708,604
TOI-628 b,6.33,1.06,1586,TOI-628,0.0486,1.345,1.28,6250,1586
TOI-640 b,0.88,1.771,1749,TOI-640,0.06608,2.082,1.99,6460,1749
TOI-674 b,0.0739,0.4693,661,TOI-674,0.0231,0.421,5.5,3505,661
TOI-677 b,1.234,1.17,1252,TOI-677,0.1038,1.28,2.92,6295,1252
TOI-700 d,0.00711,0.09573,295,TOI-700,0.1633,0.42,1.5,3480,295
TOI-712 b,0.0176,0.1828,650,TOI-712,0.07928,0.674,0.83,4622,650
TOI-712 c,0.0274,0.241,370,TOI-712,0.2447,0.674,0.83,4622,370
TOI-712 d,0.0236,0.22072,313.6,TOI-712,0.3405,0.674,0.83,4622,313.6
TOI-732 b,0.00774,0.11821,903,TOI-732,0.01195,0.38,3.1,3358,903
TOI-732 c,0.0253,0.2132,359,TOI-732,0.0757,0.38,3.1,3358,359
TOI-733 b,0.018,0.1775,1055.8,TOI-733,0.0618,0.95,4.4,5585,1055.8
TOI-762 Ab,0.251,0.744,555.4,TOI-762 A,0.03418,0.425,9.3,3266,555.4
TOI-776 b,0.01466,0.1633,513,TOI-776,0.0652,0.538,7.8,3709,513
TOI-776 c,0.0192,0.1838,415,TOI-776,0.1,0.538,7.8,3709,415
TOI-836 b,0.01425,0.15202,871,TOI-836,0.0422,0.665,5.4,4552,871
TOI-836 c,0.0302,0.2308,665,TOI-836,0.075,0.665,5.4,4552,665
TOI-849 b,0.1315,0.30726,1800,TOI-849,0.0155,0.919,6.7,5375.3,1800
TOI-858 B b,1.1,1.255,1530,TOI-858 B,0.04445,1.3,6.8,5842,1530
TOI-905 b,0.667,1.171,1192,TOI-905,0.04666,1.14,3.4,5300,1192
TOI-908 b,0.050773,0.28424,1317,TOI-908,0.041657,1.028,4.6,5626,1317
TOI-954 b,0.174,0.852,1526,TOI-954,0.04963,1.892,6.14,5710,1526
TOI-969 b,0.0286,0.24668,941,TOI-969,0.02636,0.671,4.76,4435,941
TRAPPIST-1 b,0.0027,0.09689,400.1,TRAPPIST-1,0.01111,0.117,7.6,2560,400.1
TRAPPIST-1 c,0.00434,0.09421,341.9,TRAPPIST-1,0.01521,0.117,7.6,2560,341.9
TRAPPIST-1 d,0.0013,0.0689,288,TRAPPIST-1,0.02144,0.117,7.6,2560,288
TRAPPIST-1 e,0.002,0.0819,251.3,TRAPPIST-1,0.02817,0.117,7.6,2560,251.3
TRAPPIST-1 f,0.0021,0.09323,219,TRAPPIST-1,0.0371,0.117,7.6,2560,219
TRAPPIST-1 g,0.00422,0.1005,198.6,TRAPPIST-1,0.0451,0.117,7.6,2560,198.6
TRAPPIST-1 h,0.001041,0.0674,168,TRAPPIST-1,0.063,0.117,7.6,2560,168
TrES-2 A b,1.253,1.189,1455,TrES-2 A,0.03555,1,5.1,5850,1455
TYC 8252-533-1 b,52,3.5,3092,TYC 8252-533-1,570,1.54,0.005,4500,3092
TYC 9486-927-1 b,23.8,1.39,1663,TYC 9486-927-1,6900,0.6728,0.027,3592,1663
WASP-101 b,0.5,1.41,1560,WASP-101,0.0506,1.29,0.9,6400,1560
WASP-103 b,1.49,1.528,2508,WASP-103,0.01985,1.436,4,6110,2508
WASP-108 b,1.167,1.215,1590,WASP-108,0.0397,1.215,4.6,6000,1590
WASP-109 b,0.91,1.443,1695,WASP-109,0.0463,1.346,2.6,6520,1695
